recency,frequency,monetary,r_rank_norm,f_rank_norm,m_rank_norm,RFM_score,customer_segment
299,1,114.74,34.02,43.48,51.95,2.34,Low
420,1,67.41,16.7,43.48,28.29,1.54,lost customers
560,1,195.42,2.54,43.48,74.92,2.76,Low
389,1,179.35,21.03,43.48,71.87,2.81,Low
161,1,107.01,66.7,43.48,48.87,2.5,Low
518,1,71.8,6.13,43.48,31.08,1.54,lost customers
188,1,49.4,60.41,43.48,16.51,1.53,lost customers
267,1,166.59,42.88,43.48,68.77,2.89,Low
358,1,85.23,25.28,43.48,38.53,1.9,Low
30,1,1255.71,96.1,43.48,98.42,4.13,High
83,1,147.33,84.68,43.48,63.44,3.05,Medium
544,1,58.95,3.94,43.48,22.68,1.28,lost customers
209,4,1080.0,54.69,98.88,97.96,4.59,Top
372,1,106.97,23.21,43.48,48.85,2.17,Low
502,1,173.6,7.39,43.48,70.51,2.67,Low
334,2,91.12,28.75,91.93,41.56,2.69,Low
505,4,106.23,6.98,98.88,48.43,2.82,Low
302,1,139.52,33.31,43.48,61.11,2.6,Low
141,1,66.81,71.36,43.48,27.94,1.94,Low
517,1,54.83,6.24,43.48,19.8,1.22,lost customers
151,1,37.61,69.18,43.48,8.51,1.37,lost customers
239,1,100.34,47.78,43.48,45.82,2.27,Low
105,3,65.2,80.19,97.68,26.87,2.73,Low
467,1,66.01,11.43,43.48,27.38,1.47,lost customers
345,1,47.53,27.09,43.48,15.22,1.25,lost customers
184,1,369.92,61.2,43.48,89.49,3.62,Medium
246,1,162.15,46.03,43.48,67.42,2.88,Low
126,1,92.6,75.41,43.48,42.2,2.38,Low
191,2,122.66,59.4,91.93,55.22,3.31,Medium
245,1,221.79,46.43,43.48,79.14,3.21,Medium
481,1,40.75,9.75,43.48,10.59,0.98,lost customers
92,1,132.19,82.56,43.48,58.44,2.89,Low
407,1,186.74,18.4,43.48,73.16,2.83,Low
191,1,50.01,59.4,43.48,16.84,1.53,lost customers
71,1,56.87,86.93,43.48,21.19,1.86,Low
350,1,51.27,26.5,43.48,17.6,1.31,lost customers
190,1,112.83,59.68,43.48,51.1,2.51,Low
235,1,53.72,49.11,43.48,19.06,1.52,lost customers
155,1,82.87,68.05,43.48,37.25,2.18,Low
148,1,21.94,69.62,43.48,0.87,1.16,lost customers
36,1,42.86,94.46,43.48,12.0,1.66,Low
125,1,125.97,75.83,43.48,56.36,2.78,Low
226,1,46.53,50.95,43.48,14.54,1.41,lost customers
579,1,34.86,1.57,43.48,6.44,0.8,lost customers
117,1,928.7,78.26,43.48,97.4,3.97,Medium
230,1,69.84,50.23,43.48,29.93,1.84,Low
242,1,258.01,47.19,43.48,82.83,3.32,Medium
390,1,40.0,20.92,43.48,10.12,1.05,lost customers
29,1,244.08,96.54,43.48,81.58,3.66,Medium
22,1,121.9,98.48,43.48,54.97,2.91,Low
300,1,139.15,33.71,43.48,61.0,2.6,Low
338,1,214.14,28.1,43.48,77.92,3.04,Medium
146,1,74.94,70.32,43.48,33.0,2.08,Low
43,1,31.7,92.56,43.48,4.38,1.43,lost customers
280,1,43.55,39.78,43.48,12.48,1.26,lost customers
216,1,483.7,53.55,43.48,92.63,3.65,Medium
128,1,92.81,74.55,43.48,42.3,2.37,Low
112,1,40.22,79.21,43.48,10.35,1.5,lost customers
295,1,371.87,34.57,43.48,89.57,3.42,Medium
97,1,185.6,81.55,43.48,72.93,3.3,Medium
223,1,45.61,51.86,43.48,13.95,1.4,lost customers
51,1,117.74,90.36,43.48,53.34,2.81,Low
30,1,133.57,96.1,43.48,58.89,3.01,Medium
83,1,199.02,84.68,43.48,75.6,3.4,Medium
328,1,107.84,29.68,43.48,49.25,2.23,Low
453,2,307.02,12.97,91.93,86.14,3.84,Medium
287,1,67.68,37.33,43.48,28.58,1.7,Low
37,1,81.14,93.99,43.48,36.43,2.35,Low
169,1,159.48,64.85,43.48,66.79,3.0,Low
288,1,58.59,36.66,43.48,22.44,1.52,lost customers
306,1,26.85,32.97,43.48,2.17,0.92,lost customers
246,1,59.34,46.03,43.48,22.94,1.61,Low
62,1,133.81,88.57,43.48,59.01,2.95,Low
229,2,1343.7,50.55,91.93,98.6,4.48,High
552,1,81.0,3.21,43.48,36.36,1.67,Low
316,1,55.1,31.45,43.48,20.11,1.42,lost customers
257,3,731.07,44.55,97.68,96.02,4.44,High
468,2,158.96,11.29,91.93,66.64,3.27,Medium
154,1,84.24,68.41,43.48,38.05,2.21,Low
329,1,53.33,29.47,43.48,18.85,1.37,lost customers
155,1,78.2,68.05,43.48,35.21,2.12,Low
231,1,61.85,49.87,43.48,24.35,1.68,Low
194,1,64.1,58.92,43.48,26.02,1.79,Low
242,1,34.59,47.19,43.48,6.29,1.14,lost customers
321,2,158.56,30.87,91.93,66.55,3.42,Medium
142,1,25.46,71.06,43.48,1.71,1.19,lost customers
187,1,600.04,60.76,43.48,94.48,3.76,Medium
282,1,43.68,38.95,43.48,12.54,1.26,lost customers
144,1,128.25,70.88,43.48,57.19,2.77,Low
393,1,420.94,20.34,43.48,91.15,3.36,Medium
217,1,27.75,53.21,43.48,2.59,1.08,lost customers
450,1,30.6,13.16,43.48,3.9,0.82,lost customers
525,1,77.1,5.5,43.48,34.39,1.63,Low
239,1,17.77,47.78,43.48,0.18,0.97,lost customers
209,1,84.91,54.69,43.48,38.34,2.11,Low
76,1,219.49,86.13,43.48,78.85,3.5,Medium
583,1,41.93,1.17,43.48,11.31,0.94,lost customers
491,1,367.2,8.29,43.48,89.32,3.22,Medium
183,1,81.32,61.49,43.48,36.5,2.11,Low
268,6,1641.96,42.65,99.68,99.0,4.54,Top
513,1,33.47,6.36,43.48,5.65,0.82,lost customers
295,1,115.45,34.57,43.48,52.32,2.36,Low
14,2,196.08,99.95,91.93,75.08,4.18,High
79,1,303.79,85.24,43.48,85.93,3.7,Medium
119,1,87.94,77.55,43.48,40.11,2.33,Low
68,1,152.47,87.84,43.48,64.88,3.12,Medium
684,2,217.68,0.23,91.93,78.53,3.53,Medium
224,2,70.91,51.55,91.93,30.55,2.54,Low
237,1,106.87,48.51,43.48,48.76,2.36,Low
377,2,1250.81,22.65,91.93,98.41,4.26,High
145,1,163.78,70.65,43.48,67.96,3.08,Medium
420,1,307.24,16.7,43.48,86.16,3.19,Medium
99,1,50.29,81.03,43.48,17.04,1.7,Low
133,1,32.69,73.32,43.48,5.17,1.31,lost customers
121,1,98.97,76.65,43.48,45.14,2.47,Low
201,1,71.92,57.08,43.48,31.17,1.93,Low
398,1,44.0,19.74,43.48,12.73,1.12,lost customers
426,1,164.38,15.9,43.48,68.17,2.67,Low
49,1,122.84,91.18,43.48,55.26,2.87,Low
582,1,237.99,1.28,43.48,81.01,2.93,Low
236,1,1233.65,48.83,43.48,98.35,3.78,Medium
429,1,162.45,15.41,43.48,67.51,2.65,Low
398,1,51.78,19.74,43.48,17.86,1.27,lost customers
153,1,74.41,68.72,43.48,32.8,2.06,Low
530,1,51.71,5.2,43.48,17.8,1.15,lost customers
377,2,120.0,22.65,91.93,54.4,3.01,Medium
426,1,59.29,15.9,43.48,22.91,1.38,lost customers
358,1,63.49,25.28,43.48,25.52,1.53,lost customers
217,1,38.01,53.21,43.48,8.96,1.26,lost customers
203,1,123.69,56.36,43.48,55.6,2.62,Low
23,1,93.89,98.06,43.48,42.82,2.56,Low
160,2,575.08,67.1,91.93,94.18,4.47,High
567,2,540.0,2.28,91.93,93.65,3.97,Medium
483,1,39.89,9.38,43.48,10.05,0.97,lost customers
181,1,283.42,62.16,43.48,84.67,3.49,Medium
575,1,54.55,1.78,43.48,19.68,1.18,lost customers
246,1,129.89,46.03,43.48,57.73,2.6,Low
222,1,129.32,52.15,43.48,57.56,2.64,Low
76,1,194.04,86.13,43.48,74.63,3.38,Medium
70,1,141.74,87.31,43.48,61.72,3.02,Medium
83,2,298.62,84.68,91.93,85.67,4.36,High
169,1,318.44,64.85,43.48,86.95,3.57,Medium
30,1,254.58,96.1,43.48,82.55,3.68,Medium
98,1,97.23,81.31,43.48,44.31,2.48,Low
148,2,473.12,69.62,91.93,92.41,4.44,High
197,1,76.65,57.82,43.48,34.04,2.01,Low
51,1,367.11,90.36,43.48,89.31,3.83,Medium
148,1,86.8,69.62,43.48,39.37,2.25,Low
103,1,124.02,80.38,43.48,55.71,2.8,Low
162,1,161.48,66.28,43.48,67.23,3.02,Medium
292,1,34.09,35.55,43.48,6.07,1.05,lost customers
127,1,91.35,74.97,43.48,41.71,2.36,Low
34,1,41.01,95.23,43.48,10.81,1.63,Low
474,1,34.09,10.66,43.48,6.07,0.86,lost customers
258,1,186.85,44.38,43.48,73.2,3.03,Medium
286,1,35.77,37.94,43.48,7.16,1.1,lost customers
54,1,75.68,90.01,43.48,33.53,2.24,Low
469,2,76.94,11.15,91.93,34.29,2.35,Low
93,1,128.27,82.17,43.48,57.22,2.86,Low
296,1,132.39,34.37,43.48,58.47,2.53,Low
569,1,471.05,2.11,43.48,92.36,3.26,Medium
84,1,284.09,84.42,43.48,84.73,3.66,Medium
447,1,70.35,13.64,43.48,30.25,1.57,lost customers
476,1,85.14,10.32,43.48,38.43,1.78,Low
300,1,71.72,33.71,43.48,31.04,1.75,Low
179,1,65.03,62.63,43.48,26.69,1.84,Low
377,1,107.78,22.65,43.48,49.17,2.18,Low
86,1,128.53,83.78,43.48,57.29,2.87,Low
63,1,21.86,88.42,43.48,0.85,1.3,lost customers
252,1,90.05,44.91,43.48,41.12,2.12,Low
286,1,425.24,37.94,43.48,91.27,3.49,Medium
342,1,65.6,27.7,43.48,27.08,1.59,lost customers
252,1,102.87,44.91,43.48,46.9,2.28,Low
418,1,27.77,17.07,43.48,2.64,0.81,lost customers
362,1,195.92,24.8,43.48,75.03,2.93,Low
92,1,128.97,82.56,43.48,57.46,2.87,Low
